employee_id,age,gender,education,department,job_level,experience_years,salary,training_hours,projects_completed,monthly_working_hours,overtime_hours,leaves_taken,manager_rating,peer_review_score,attendance_rate,years_at_company,promotion_last_5_years,attrition_risk,performance_score,performance_category,salary_per_exp,projects_per_year,training_efficiency,overtime_ratio,engagement_score,is_senior
EMP0019,53,Male,Bachelor's,Sales,Mid,20,89887.0,36,2,149,1,7,3,8.5,78.1,17,0,Medium,59.81,Medium,4280.33,0.11,12.0,0.0067,0.6754,0
EMP0020,39,Male,Bachelor's,Finance,Junior,12,36254.0,72,13,192,16,12,4,6.2,92.5,12,0,Medium,71.65,Medium,2788.77,1.0,5.14,0.0829,0.772,0
EMP0021,41,Male,PhD,Engineering,Junior,13,55498.0,12,15,150,7,14,3,5.0,91.6,11,1,Medium,63.93,Medium,3964.14,1.25,0.75,0.0464,0.5524,0
EMP0022,36,Male,Master's,Engineering,Mid,11,75868.0,57,5,215,21,18,2,6.5,100.0,10,0,Medium,52.85,Medium,6322.33,0.45,9.5,0.0972,0.766,0
EMP0023,28,Female,Diploma,HR,Mid,3,56530.0,90,12,188,38,18,3,7.0,98.3,0,1,Medium,62.56,Medium,14132.5,12.0,6.92,0.2011,0.8732,0
EMP0024,57,Female,Master's,Marketing,Senior,22,96713.0,68,6,146,9,16,1,6.0,100.0,21,0,Medium,56.84,Medium,4204.91,0.27,9.71,0.0612,0.784,1
EMP0025,51,Female,Master's,HR,Lead,20,131543.0,34,8,157,14,10,2,5.7,89.4,18,0,High,48.15,Low,6263.95,0.42,3.78,0.0886,0.6306,1
EMP0026,46,Male,Bachelor's,Engineering,Junior,15,43403.0,64,11,168,17,8,3,7.3,87.9,12,1,Medium,60.6,Medium,2712.69,0.85,5.33,0.1006,0.7626,0
EMP0027,37,Male,Diploma,Sales,Lead,5,104573.0,42,5,141,31,8,5,7.2,79.6,4,0,Medium,66.36,Medium,17428.83,1.0,7.0,0.2183,0.6604,1
EMP0028,53,Male,Bachelor's,HR,Lead,14,116479.0,48,16,140,39,19,4,6.0,95.6,14,1,Medium,66.27,Medium,7765.27,1.07,2.82,0.2766,0.7064,1
EMP0029,42,Female,Master's,Finance,Lead,15,123724.0,30,8,214,3,4,4,4.0,90.9,12,1,Medium,62.8,Medium,7732.75,0.62,3.33,0.014,0.5736,1
EMP0030,38,Male,Bachelor's,Marketing,Senior,11,88186.0,66,9,218,19,10,4,7.2,95.2,7,1,Medium,69.25,Medium,7348.83,1.12,6.6,0.0868,0.7948,1
EMP0031,39,Male,Master's,HR,Senior,7,82923.0,27,16,182,30,13,4,5.3,80.9,5,0,Medium,57.13,Medium,10365.38,2.67,1.59,0.1639,0.5636,1
EMP0032,30,Male,Master's,HR,Senior,1,81991.0,49,5,212,0,0,2,6.8,92.8,0,0,Medium,55.06,Medium,40995.5,5.0,8.17,0.0,0.7222,1
EMP0033,25,Female,Master's,Sales,Senior,1,89251.0,94,9,192,32,12,3,6.7,91.6,1,0,Medium,64.17,Medium,44625.5,4.5,9.4,0.1658,0.8494,1
EMP0034,43,Male,Diploma,Sales,Junior,8,62899.0,78,19,142,9,5,3,3.7,91.1,4,1,Medium,65.95,Medium,6988.78,3.8,3.9,0.0629,0.7094,0
EMP0035,55,Male,Bachelor's,Marketing,Manager,24,146740.0,47,8,197,20,5,4,6.6,84.5,20,0,Medium,64.85,Medium,5869.6,0.38,5.22,0.101,0.677,1
EMP0036,24,Female,Master's,Engineering,Mid,0,57522.0,97,3,141,39,12,4,7.3,99.5,0,0,Medium,65.19,Medium,57522.0,3.0,24.25,0.2746,0.908,0
EMP0037,54,Female,Bachelor's,Finance,Senior,16,90507.0,11,6,205,25,0,3,7.5,100.0,16,0,Medium,55.46,Medium,5323.94,0.35,1.57,0.1214,0.658,1
EMP0038,53,Male,Bachelor's,Finance,Mid,21,88350.0,96,19,169,39,3,4,6.7,81.1,18,0,Medium,74.93,High,4015.91,1.0,4.8,0.2294,0.8134,0
EMP0039,32,Male,Bachelor's,Marketing,Junior,6,34691.0,41,15,151,24,9,5,3.5,95.8,2,0,Medium,68.93,Medium,4955.86,5.0,2.56,0.1579,0.6112,0
EMP0040,46,Female,Bachelor's,Marketing,Mid,14,66402.0,83,16,160,8,11,3,8.4,71.69500000000001,14,1,Low,75.8,High,4426.8,1.07,4.88,0.0497,0.7878,0
EMP0041,28,Female,Bachelor's,Marketing,Mid,4,55085.0,95,5,194,27,2,4,7.1,95.3,1,0,Medium,68.71,Medium,11017.0,2.5,15.83,0.1385,0.8792,0
EMP0042,50,Female,Master's,Finance,Mid,19,77190.0,64,16,207,24,7,4,4.7,75.0,15,1,Medium,66.8,Medium,3859.5,1.0,3.76,0.1154,0.633,0
EMP0043,48,Male,Master's,Operations,Mid,20,81585.0,64,8,185,12,6,4,5.3,85.8,20,0,Medium,66.78,Medium,3885.0,0.38,7.11,0.0645,0.6942,0
EMP0044,35,Male,Master's,Engineering,Junior,5,44869.0,77,16,152,3,10,4,6.8,79.5,3,0,Medium,71.04,Medium,7478.17,4.0,4.53,0.0196,0.753,0
EMP0045,24,Female,Bachelor's,Marketing,Mid,1,56153.0,31,17,212,25,6,4,7.5,88.3,1,0,Medium,71.33,Medium,28076.5,8.5,1.72,0.1174,0.6712,0
EMP0046,58,Male,Bachelor's,Engineering,Mid,20,68360.0,26,4,203,23,0,3,5.8,96.7,20,0,Medium,52.7,Medium,3255.24,0.19,5.2,0.1127,0.6388,0
EMP0047,38,Male,Bachelor's,HR,Manager,10,147822.0,40,18,172,30,10,4,7.7,75.1,8,0,Medium,70.36,Medium,13438.36,2.0,2.11,0.1734,0.6514,1
EMP0048,55,Female,Master's,Sales,Junior,28,68176.0,53,13,184,5,16,5,3.8,87.1,27,0,Medium,68.25,Medium,2350.9,0.46,3.79,0.027,0.6214,0
EMP0049,47,Female,PhD,Marketing,Mid,11,77493.0,76,14,217,21,11,3,4.9,85.9,11,0,Medium,63.39,Medium,6457.75,1.17,5.07,0.0963,0.7186,0
EMP0050,51,Male,Bachelor's,HR,Junior,22,55738.0,33,15,170,32,7,5,3.4,100.0,18,0,Medium,61.73,Medium,2423.39,0.79,2.06,0.1871,0.601,0
EMP0051,50,Female,Master's,Marketing,Mid,23,69781.0,60,4,142,35,9,3,5.2,93.5,22,0,Medium,54.91,Medium,2907.54,0.17,12.0,0.2448,0.71,0
EMP0052,29,Male,Bachelor's,Marketing,Mid,4,59527.0,10,15,151,37,2,4,8.8,80.6,0,0,Medium,58.97,Medium,11905.4,15.0,0.62,0.2434,0.6164,0
EMP0053,35,Female,Bachelor's,Operations,Senior,8,99967.0,12,5,188,8,4,4,9.6,86.2,8,0,Medium,62.89,Medium,11107.44,0.56,2.0,0.0423,0.6688,1
EMP0054,39,Female,Bachelor's,Operations,Manager,11,144487.0,97,6,219,6,8,4,6.9,100.0,9,1,Low,77.95,High,12040.58,0.6,13.86,0.0273,0.898,1
EMP0055,40,Male,Bachelor's,Engineering,Junior,9,44202.0,86,3,199,23,11,5,5.5,95.7,6,0,Medium,67.87,Medium,4420.2,0.43,21.5,0.115,0.8058,0
EMP0056,23,Female,Master's,Marketing,Senior,0,73037.0,87,4,189,18,9,3,6.2,82.7,0,0,Medium,58.57,Medium,73037.0,4.0,17.4,0.0947,0.7778,1
EMP0057,42,Male,Diploma,Operations,Junior,11,62262.0,39,19,165,9,19,4,7.2,87.9,9,1,Low,78.16,High,5188.5,1.9,1.95,0.0542,0.6846,0
EMP0058,27,Female,Bachelor's,HR,Junior,4,31563.0,56,7,175,4,12,4,4.2,88.1,1,0,Medium,67.11,Medium,6312.6,3.5,7.0,0.0227,0.6464,0
EMP0059,50,Male,Master's,Sales,Mid,20,73196.0,70,8,143,5,0,5,5.6,85.7,20,1,Low,76.47,High,3485.52,0.38,7.78,0.0347,0.7208,0
EMP0060,47,Male,Master's,Finance,Junior,18,61160.0,32,10,169,13,10,4,8.7,76.3,14,0,Medium,70.44,Medium,3218.95,0.67,2.91,0.0765,0.6622,0
EMP0061,57,Female,Diploma,Sales,Senior,25,95151.0,77,14,189,29,11,5,4.9,84.6,22,0,Medium,71.6,Medium,3659.65,0.61,5.13,0.1526,0.7164,1
EMP0062,50,Female,Master's,Engineering,Senior,17,110596.0,72,11,212,2,0,5,5.4,100.0,14,0,Low,78.74,High,6144.22,0.73,6.0,0.0094,0.778,1
EMP0063,35,Male,Bachelor's,Finance,Senior,10,96993.0,46,11,213,4,7,3,6.5,87.0,8,0,Medium,63.26,Medium,8817.55,1.22,3.83,0.0187,0.681,1
EMP0064,58,Female,Master's,HR,Mid,17,82593.0,49,16,205,10,17,5,6.9,89.2,16,0,Low,79.53,High,4588.5,0.94,2.88,0.0485,0.7108,0
EMP0065,37,Female,Bachelor's,Operations,Senior,13,100064.0,37,10,141,34,7,5,5.6,91.1,11,0,Medium,62.83,Medium,7147.43,0.83,3.36,0.2394,0.6434,1
EMP0066,34,Male,Diploma,Marketing,Mid,9,64511.0,82,15,204,39,9,3,6.6,100.0,6,0,Medium,65.7,Medium,6451.1,2.14,5.12,0.1902,0.844,0
EMP0067,56,Female,Bachelor's,Operations,Junior,29,61294.0,98,18,157,17,4,4,7.4,90.1,25,1,Low,84.06,High,2043.13,0.69,5.16,0.1076,0.8764,0
EMP0068,36,Female,Master's,Marketing,Junior,8,43479.0,98,13,189,1,1,3,9.4,98.8,4,1,Low,86.52,High,4831.0,2.6,7.0,0.0053,0.9712,0
EMP0069,24,Male,Bachelor's,Operations,Senior,2,74598.0,79,1,215,0,6,4,6.3,85.2,2,0,Medium,69.17,Medium,24866.0,0.33,39.5,0.0,0.7668,1
EMP0070,39,Male,Bachelor's,Engineering,Manager,9,144689.0,41,6,211,34,15,2,6.4,87.9,9,0,Medium,53.52,Medium,14468.9,0.6,5.86,0.1604,0.6666,1
EMP0071,52,Female,PhD,Engineering,Junior,23,69054.0,80,12,193,17,19,4,8.8,90.1,19,1,Low,75.75,High,2877.25,0.6,6.15,0.0876,0.8644,0
EMP0072,29,Male,Master's,Operations,Mid,2,69214.0,31,10,163,3,13,4,5.7,83.8,1,0,Medium,59.86,Medium,23071.33,5.0,2.82,0.0183,0.5992,0
EMP0073,39,Female,Bachelor's,Operations,Senior,11,96174.0,90,6,181,33,16,4,4.5,88.4,9,0,Medium,64.15,Medium,8014.5,0.6,12.86,0.1813,0.7586,1
EMP0074,26,Female,Diploma,Support,Lead,1,108596.0,34,7,196,21,12,1,6.9,97.1,1,0,High,46.15,Low,54298.0,3.5,4.25,0.1066,0.6974,1
EMP0075,48,Male,PhD,Marketing,Mid,14,69422.0,46,2,181,13,13,4,8.1,83.6,14,0,Medium,63.07,Medium,4628.13,0.13,15.33,0.0714,0.7154,0
EMP0076,40,Male,Bachelor's,Engineering,Senior,9,86973.0,18,5,172,18,8,4,7.0,90.0,7,0,Medium,54.14,Medium,8697.3,0.62,3.0,0.104,0.624,1
EMP0077,34,Female,Master's,Support,Senior,11,96989.0,17,15,172,9,1,4,6.4,95.7,8,0,Medium,66.01,Medium,8082.42,1.67,1.06,0.052,0.6258,1
EMP0078,30,Male,Bachelor's,Finance,Lead,5,102908.0,45,1,187,37,8,3,4.3,83.4,2,0,High,39.85,Low,17151.33,0.33,22.5,0.1968,0.5976,1
EMP0079,43,Male,Master's,Sales,Junior,15,55153.0,59,16,142,31,17,2,6.4,98.8,11,0,Medium,59.42,Medium,3447.06,1.33,3.47,0.2168,0.7642,0
EMP0080,47,Female,Bachelor's,Operations,Manager,11,134710.0,11,7,219,7,10,4,8.3,90.6,11,0,Medium,64.16,Medium,11225.83,0.58,1.38,0.0318,0.6444,1
EMP0081,57,Female,Bachelor's,Support,Junior,27,60346.0,86,16,148,29,15,5,4.6,88.7,26,1,Low,75.42,High,2155.21,0.59,5.06,0.1946,0.7508,0
EMP0082,38,Female,Diploma,Sales,Lead,12,119483.0,20,5,218,7,1,3,6.1,73.9,10,1,Medium,57.0,Medium,9191.0,0.45,3.33,0.032,0.5386,1
EMP0083,28,Female,Diploma,Operations,Junior,4,46893.0,98,16,142,18,4,4,5.9,87.0,2,0,Low,79.23,High,9378.6,5.33,5.76,0.1259,0.819,0
EMP0084,53,Female,PhD,Operations,Junior,23,54714.0,34,11,181,29,5,1,5.5,93.0,23,1,High,41.18,Low,2279.75,0.46,2.83,0.1593,0.639,0
EMP0085,45,Male,Diploma,HR,Junior,19,63164.0,44,17,173,1,7,4,6.9,100.0,17,1,Low,79.72,High,3158.2,0.94,2.44,0.0057,0.739,0
EMP0086,48,Female,Master's,Finance,Mid,20,74738.0,24,2,185,29,19,3,7.2,94.5,16,0,Medium,51.76,Medium,3558.95,0.12,8.0,0.1559,0.666,0
EMP0087,25,Female,Master's,Sales,Mid,2,57532.0,84,16,174,9,9,4,7.1,99.0,2,1,Low,81.11,High,19177.33,5.33,4.94,0.0514,0.861,0
EMP0088,33,Female,Master's,Support,Junior,7,54735.0,75,6,211,27,13,3,5.0,80.3,3,1,Medium,55.98,Medium,6841.88,1.5,10.71,0.1274,0.6962,0
EMP0089,51,Female,Bachelor's,Support,Mid,22,87859.0,17,7,141,19,12,2,4.0,89.0,20,0,High,45.01,Low,3819.96,0.33,2.12,0.1338,0.527,0
EMP0090,53,Male,Bachelor's,Support,Mid,16,80566.0,19,1,218,1,8,3,6.9,99.8,14,0,Medium,55.04,Medium,4739.18,0.07,9.5,0.0046,0.6632,0
EMP0091,38,Female,Bachelor's,Operations,Senior,14,112070.0,64,19,195,30,19,3,5.7,82.9,11,0,Medium,64.64,Medium,7471.33,1.58,3.2,0.1531,0.6946,1
EMP0092,52,Male,Master's,Engineering,Lead,15,112368.0,87,13,202,10,4,4,9.3,97.7,12,1,Low,87.11,High,7023.0,1.0,6.21,0.0493,0.9308,1
EMP0093,53,Female,Bachelor's,Marketing,Senior,25,102113.0,19,19,151,38,0,5,9.3,95.9,22,1,Medium,73.47,Medium,3927.42,0.83,0.95,0.25,0.7196,1
EMP0094,36,Male,Bachelor's,HR,Junior,5,35223.0,29,11,145,33,14,4,9.5,92.2,5,1,Medium,64.09,Medium,5870.5,1.83,2.42,0.226,0.7408,0
EMP0095,56,Male,Master's,Support,Junior,16,52163.0,59,4,171,7,13,5,5.1,87.4,15,0,Medium,68.22,Medium,3068.41,0.25,11.8,0.0407,0.6796,0
EMP0096,32,Male,Bachelor's,HR,Lead,8,90763.0,19,7,165,24,5,4,7.4,82.1,4,0,Medium,55.82,Medium,10084.78,1.4,2.38,0.1446,0.6074,1
EMP0097,31,Female,Bachelor's,HR,Junior,6,40540.0,37,9,202,14,17,2,7.8,100.0,6,1,Medium,54.23,Medium,5791.43,1.29,3.7,0.069,0.745,0
EMP0098,47,Female,PhD,Sales,Mid,20,74643.0,10,3,211,24,3,3,7.6,95.1,17,0,Medium,51.18,Medium,3554.43,0.17,2.5,0.1132,0.6384,0
EMP0099,46,Male,PhD,Operations,Manager,21,158069.88999999998,54,18,174,22,5,4,6.0,92.7,19,1,Low,76.35,High,7184.99,0.9,2.84,0.1257,0.7128,1
EMP0100,27,Male,Bachelor's,Marketing,Manager,1,134019.0,74,19,201,11,3,3,8.4,86.7,1,1,Low,77.29,High,67009.5,9.5,3.7,0.0545,0.8208,1
EMP0101,53,Male,Bachelor's,Engineering,Mid,16,69394.0,47,11,144,26,3,5,6.5,90.3,16,0,Medium,70.88,Medium,4082.0,0.65,3.92,0.1793,0.6972,0
EMP0102,29,Male,Bachelor's,Support,Senior,1,85919.0,33,12,199,10,14,4,6.7,91.3,0,1,Medium,62.15,Medium,42959.5,12.0,2.54,0.05,0.6652,1
EMP0103,52,Female,Master's,Sales,Mid,19,83586.0,48,14,147,36,14,4,4.2,93.2,19,0,Medium,62.39,Medium,4179.3,0.7,3.2,0.2432,0.6428,0
EMP0104,22,Male,PhD,Engineering,Senior,0,73851.0,55,13,193,37,12,4,7.5,95.9,0,1,Medium,68.42,Medium,73851.0,13.0,3.93,0.1907,0.7736,1
EMP0105,52,Male,Bachelor's,Engineering,Junior,24,59855.0,24,2,170,6,17,3,6.1,83.7,24,1,Medium,51.36,Medium,2394.2,0.08,8.0,0.0351,0.5898,0
EMP0106,51,Male,Master's,HR,Junior,12,31597.0,20,11,173,29,1,4,7.2,78.3,9,0,Medium,60.69,Medium,2430.54,1.1,1.67,0.1667,0.5892,0
EMP0107,51,Male,Bachelor's,Engineering,Senior,12,85674.0,26,15,162,37,12,2,6.9,90.7,8,0,Medium,53.82,Medium,6590.31,1.67,1.62,0.227,0.6478,1
EMP0108,47,Female,Bachelor's,Operations,Junior,13,44660.0,98,16,172,5,2,3,6.8,76.0,13,0,Medium,72.27,Medium,3190.0,1.14,5.76,0.0289,0.802,0
EMP0109,39,Female,Diploma,HR,Senior,7,88993.0,75,12,209,29,19,3,6.4,87.4,4,0,Medium,64.91,Medium,11124.12,2.4,5.77,0.1381,0.7666,1
EMP0110,48,Male,Bachelor's,Marketing,Mid,14,64236.0,21,18,204,37,12,3,7.7,85.9,11,0,Medium,64.28,Medium,4282.4,1.5,1.11,0.1805,0.6376,0
EMP0111,32,Female,Bachelor's,Engineering,Lead,8,105492.0,37,12,167,9,15,4,6.2,93.9,7,1,Medium,68.1,Medium,11721.33,1.5,2.85,0.0536,0.6726,1
EMP0112,51,Male,Bachelor's,HR,Lead,15,108197.0,47,8,163,23,11,1,4.3,100.0,15,0,High,43.3,Low,6762.31,0.5,5.22,0.1402,0.67,1
EMP0113,43,Male,Master's,Sales,Mid,13,71968.0,26,9,180,31,7,3,7.4,74.4,11,0,Medium,53.33,Medium,5140.57,0.75,2.6,0.1713,0.5976,0
EMP0114,39,Male,Diploma,Support,Senior,14,100205.0,86,14,194,13,13,5,5.3,100.0,14,1,Low,83.31,High,6680.33,0.93,5.73,0.0667,0.817,1
EMP0115,41,Male,Diploma,Marketing,Junior,13,53818.0,94,17,154,9,16,5,4.5,88.1,13,0,Low,78.14,High,3844.14,1.21,5.22,0.0581,0.7694,0
EMP0116,43,Male,Bachelor's,HR,Mid,15,73098.0,32,5,198,15,3,4,5.0,92.8,13,0,Medium,60.46,Medium,4568.62,0.36,5.33,0.0754,0.6172,0
EMP0117,23,Female,Bachelor's,Engineering,Junior,1,26131.46,11,6,215,13,17,4,6.9,78.7,0,0,Medium,56.47,Medium,13065.73,6.0,1.57,0.0602,0.5548,0
EMP0118,27,Female,Master's,Engineering,Lead,1,96240.0,34,13,207,29,14,4,6.4,98.0,0,0,Medium,65.83,Medium,48120.0,13.0,2.43,0.1394,0.686,1
EMP0119,31,Female,Bachelor's,Sales,Lead,5,102741.0,62,15,183,14,1,1,3.3,90.3,2,0,Medium,50.5,Medium,17123.5,5.0,3.88,0.0761,0.6462,1
EMP0120,26,Male,PhD,Engineering,Lead,4,101573.0,82,8,165,15,18,4,5.9,89.5,3,0,Medium,68.07,Medium,20314.6,2.0,9.11,0.0904,0.781,1
EMP0121,38,Male,Master's,Operations,Lead,12,114999.0,40,13,165,37,3,2,8.3,74.5,11,0,Medium,58.84,Medium,8846.08,1.08,2.86,0.2229,0.667,1
EMP0122,47,Male,Bachelor's,Support,Manager,13,157004.0,34,1,199,23,12,4,5.8,90.6,10,0,Medium,51.06,Medium,11214.57,0.09,17.0,0.115,0.6384,1
EMP0123,46,Male,PhD,Support,Junior,14,58296.0,32,6,176,37,2,5,6.3,96.8,14,0,Medium,63.63,Medium,3886.4,0.4,4.57,0.209,0.6722,0
EMP0124,39,Male,Bachelor's,Sales,Manager,12,136499.0,10,19,148,28,3,4,8.1,88.1,10,0,Medium,73.36,Medium,10499.92,1.73,0.5,0.1879,0.6254,1
EMP0125,54,Female,Bachelor's,Operations,Mid,22,86827.0,11,11,194,35,12,5,7.7,99.4,19,0,Medium,68.52,Medium,3775.09,0.55,0.92,0.1795,0.6616,0
EMP0126,43,Female,Master's,HR,Mid,14,76922.0,48,17,151,7,13,4,8.0,99.1,10,1,Low,75.07,High,5128.13,1.55,2.67,0.0461,0.7804,0
EMP0127,25,Female,Master's,Engineering,Mid,2,50951.0,65,5,218,37,13,4,3.0,84.9,2,0,High,47.74,Low,16983.67,1.67,10.83,0.1689,0.6246,0
EMP0128,51,Female,Master's,Engineering,Mid,21,86990.0,11,6,173,37,6,4,9.1,100.0,20,0,Medium,57.85,Medium,3954.09,0.29,1.57,0.2126,0.706,0
EMP0129,43,Female,Master's,HR,Junior,16,52916.0,28,19,167,1,16,4,7.5,90.4,15,0,Low,77.23,High,3112.71,1.19,1.4,0.006,0.6706,0
EMP0130,46,Female,Diploma,Marketing,Junior,10,35720.0,91,19,144,14,0,4,9.801,90.4,8,1,Low,88.64,High,3247.27,2.11,4.55,0.0966,0.9286,0
EMP0131,43,Male,Diploma,Engineering,Junior,9,49441.0,98,17,153,16,17,3,5.3,90.8,9,0,Medium,69.0,Medium,4944.1,1.7,5.44,0.1039,0.8162,0
EMP0132,43,Female,Master's,Support,Mid,18,78335.0,67,7,215,16,6,4,3.9,90.6,14,0,Medium,60.07,Medium,4122.89,0.47,8.38,0.0741,0.6804,0
EMP0133,25,Female,Bachelor's,Operations,Lead,1,99378.0,56,16,182,31,12,3,6.5,71.69500000000001,0,1,Medium,58.57,Medium,49689.0,16.0,3.29,0.1694,0.6498,1
EMP0134,43,Female,Master's,HR,Senior,14,96500.0,62,9,212,27,18,4,6.1,88.5,13,0,Medium,64.23,Medium,6433.33,0.64,6.2,0.1268,0.723,1
EMP0135,52,Female,Diploma,Support,Mid,21,74447.0,43,17,216,8,5,2,7.5,79.1,19,0,Medium,70.02,Medium,3383.95,0.85,2.39,0.0369,0.6704,0
EMP0136,33,Male,Bachelor's,Support,Mid,5,65881.0,28,17,143,24,8,4,8.1,100.0,3,1,Medium,69.35,Medium,10980.17,4.25,1.56,0.1667,0.727,0
EMP0137,44,Female,Bachelor's,Support,Mid,19,77452.0,43,9,170,38,16,3,6.4,100.0,19,0,Medium,53.57,Medium,3872.6,0.45,4.3,0.2222,0.721,0
EMP0138,23,Male,Bachelor's,Sales,Junior,0,36331.0,72,6,207,17,17,3,6.1,96.8,0,0,Medium,59.37,Medium,36331.0,6.0,10.29,0.0817,0.7862,0
EMP0139,35,Female,Bachelor's,Support,Lead,10,114857.0,69,19,179,37,4,4,7.3,88.1,7,1,Low,75.07,High,10441.55,2.38,3.45,0.2056,0.7784,1
EMP0140,38,Female,Master's,HR,Junior,11,38963.0,70,9,180,25,10,3,6.1,81.9,10,1,Medium,60.36,Medium,3246.92,0.82,7.0,0.1381,0.7206,0
EMP0141,59,Female,Bachelor's,Operations,Senior,19,95645.0,64,9,185,36,6,5,6.0,84.7,17,1,Medium,64.37,Medium,4782.25,0.5,6.4,0.1935,0.7108,1
EMP0142,30,Male,Master's,Support,Senior,3,65920.0,15,13,196,36,10,4,8.1,100.0,2,0,Medium,63.11,Medium,16480.0,4.33,1.07,0.1827,0.688,1
EMP0143,32,Female,PhD,Sales,Mid,6,66717.0,66,18,215,0,7,3,8.4,84.5,5,0,Low,75.5,High,9531.0,3.0,3.47,0.0,0.788,0
EMP0144,37,Female,PhD,HR,Lead,8,99902.0,89,3,210,32,0,1,8.1,71.69500000000001,7,1,Medium,50.37,Medium,11100.22,0.38,22.25,0.1517,0.7968,1
EMP0145,59,Male,Bachelor's,Engineering,Junior,16,55260.0,68,19,190,7,18,5,6.2,98.2,16,1,Low,92.88,High,3250.59,1.12,3.4,0.0366,0.7828,0
EMP0146,54,Male,Bachelor's,Sales,Lead,25,132967.0,62,9,186,32,12,4,3.3,100.0,21,0,Medium,61.3,Medium,5114.12,0.41,6.2,0.1711,0.685,1
EMP0147,23,Female,Master's,Marketing,Senior,0,84818.0,30,1,168,32,9,4,6.3,100.0,0,0,Medium,54.57,Medium,84818.0,1.0,15.0,0.1893,0.679,1
EMP0148,30,Female,PhD,Operations,Senior,3,73967.0,81,6,149,10,2,3,5.4,98.3,0,0,Medium,62.7,Medium,18491.75,6.0,11.57,0.0667,0.7982,1
EMP0149,53,Female,Bachelor's,Support,Senior,16,98678.0,50,9,196,2,1,4,6.3,99.6,16,0,Medium,67.26,Medium,5804.59,0.53,5.0,0.0102,0.7374,1
